Authors,URL,Title,Published,Data collected (first),Data collected (last),Location Description,Latitude,Longitude,Region,Type of Fish,Sex of Sample (if only one sample),Number of Samples,Length of Fish (cm),Weight of Fish (g),Age (years),Conc Hg Fish [ug/g],,Conc Hg Sediment [ug/g],Main Findings/Comments
Eirik Lande,https://doi.org/10.1016/0013-9327(77)90052-0,"Heavy Metal Pollution In Trondheimsfjorden, Norway, And The Recorded Effects On The Fauna And Flora",1977,1972,1973,Kirknesvaagen,63.9426,11.1305,Northern Europe,Cod (gadus morhua),,2,53,,,0.2,,,Mercury given as wet weight
Eirik Lande,https://doi.org/10.1016/0013-9327(77)90052-0,"Heavy Metal Pollution In Trondheimsfjorden, Norway, And The Recorded Effects On The Fauna And Flora",1977,1972,1973,Malvik,63.3728,10.7508,Northern Europe,Cod (gadus morhua),,4,48,,,0.2,,,Concentrations of other heavy metals also given. May be relevant/interesting. 
Eirik Lande,https://doi.org/10.1016/0013-9327(77)90052-0,"Heavy Metal Pollution In Trondheimsfjorden, Norway, And The Recorded Effects On The Fauna And Flora",1977,1972,1973,Skarnsund,63.858,11.0626,Northern Europe,Haddock (gadus aeglefinus),,2,49,,,0.1,,,"Industries including mining, pulp and paper mill factories located on southern side"
Eirik Lande,https://doi.org/10.1016/0013-9327(77)90052-0,"Heavy Metal Pollution In Trondheimsfjorden, Norway, And The Recorded Effects On The Fauna And Flora",1977,1972,1973,Malvik,63.3728,10.7508,Northern Europe,Haddock (gadus aeglefinus),,1,46,,,0.1,,,
Eirik Lande,https://doi.org/10.1016/0013-9327(77)90052-0,"Heavy Metal Pollution In Trondheimsfjorden, Norway, And The Recorded Effects On The Fauna And Flora",1977,1972,1973,Tautra,63.5784,10.6094,Northern Europe,Catfish (anarchichas lupus),,4,82,,,0.2,,,Data also given for e.g. seaweeds and shellfish and a seabird
Eirik Lande,https://doi.org/10.1016/0013-9327(77)90052-0,"Heavy Metal Pollution In Trondheimsfjorden, Norway, And The Recorded Effects On The Fauna And Flora",1977,1972,1973,Malvik,63.3728,10.7508,Northern Europe,Whiting (gadus merlangus),,2,32,,,0.1,,,
Eirik Lande,https://doi.org/10.1016/0013-9327(77)90052-0,"Heavy Metal Pollution In Trondheimsfjorden, Norway, And The Recorded Effects On The Fauna And Flora",1977,1972,1973,Malvik,63.3728,10.7508,Northern Europe,Herring (clupea harengus),,2,22,,,0.1,,,
Eirik Lande,https://doi.org/10.1016/0013-9327(77)90052-0,"Heavy Metal Pollution In Trondheimsfjorden, Norway, And The Recorded Effects On The Fauna And Flora",1977,1972,1973,Geitneset,63.5186,10.2838,Northern Europe,Grenadier (macrurus rupestris),,4,62,,,0.1,,,
Eirik Lande,https://doi.org/10.1016/0013-9327(77)90052-0,"Heavy Metal Pollution In Trondheimsfjorden, Norway, And The Recorded Effects On The Fauna And Flora",1977,1972,1973,Geitneset,63.5186,10.2838,Northern Europe,Rabbitfish (chimaera monstrosa),,1,72,,,0.1,,,
Eirik Lande,https://doi.org/10.1016/0013-9327(77)90052-0,"Heavy Metal Pollution In Trondheimsfjorden, Norway, And The Recorded Effects On The Fauna And Flora",1977,1972,1973,Geitneset,63.5186,10.2838,Northern Europe,Witch (glyptocephalus cynoglossus),,2,40,,,0.2,,,
